,Caterogy,Sentence
0,4,brian tufano 's handsome widescreen photography and paul grabowsky 's excellent music turn this fairly parochial melodrama into something really rather special .
1,3,"it may not be great piece of filmmaking , but its power come from its soul 's eye view of how well mean patronize mask social injustice , at least as represent by this case ."
2,3,"it 's not go to be everyone 's bag of popcorn , but it definitely give you something to chew on ."
3,3,"like its bizarre heroine , it irrigate our soul ."
4,3,"whenever you think you 've figure out late marriage , it throw you for loop ."
5,4,"bloody sunday have the grace to call for prevention rather than to place blame , make it one of the best war movie ever make ."
6,0,... hypnotically dull .
7,1,"the connected story of breitbart and hanussen be actually fascinating , but the filmmaking in invincible be such that the movie do not do them justice ."
8,2,a glossy knock off of movie revenge flick .
9,2,"scenario that will give most parent pause ... then , something terrible happens ."
10,2,"in the long , dishonorable history of quickie teen pop exploitation , like mike stand out for its only partly synthetic decency ."
11,2,that be make almost impossible by event that set the plot in motion .
12,1,"the screenplay by james eric , james horton and director peter'fallon ... be so pat it make your teeth hurt ."
13,2,it 's the type of stunt the academy love powerful political message stuff into an otherwise mediocre film .
14,2,show me the mugging .
15,4,"mr. caine and mr. fraser be the whole show here , with their memorable and resourceful performance ."
16,3,"for every cheesy scene , though , there be really cool bit the movie 's conception of future world holographic librarian orlando jones who know everything and answer all question , be visually smart , cleverly write , and nicely realize ."
17,1,"too slow for young crowd , too shallow for an old one ."
18,4,move over bond this girl deserve sequel .
19,2,good than the tepid star trek insurrection fall short of first contact because the villain could't pick the lint off borg queen alice krige 's cape and finish half parsec nose ahead of generation .
20,3,"even if invincible be not quite the career peak that the pianist be for roman polanski , it demonstrate that werner herzog can still leave us with sense of wonder at the diverse , marvelously twisted shape history have take ."
21,2,a movie that will wear you out and make you misty even when you do't want to be .
22,2,"affleck merely create an outline for role he still need to grow into , role that ford effortlessly fill with authority ."
23,0,"it might not be 1970s animation , but everything else about it be straight from the saturday morning cartoon retread story , bad writing , and the same old silliness ."
24,4,it 's the brilliant surfing photography bring you right inside the massive wave that lift blue crush into one of the summer 's most pleasurable movie .
25,3,... an adorably whimsical comedy that deserve more than passing twinkle .
26,2,"about boy vividly recall the cary grant of room for one more , houseboat and father goose in its affectionate depiction of the gentle war between reluctant , irresponsible man and the kid who latch onto him ."
27,4,"at once subtle and visceral , the film never succumb to the trap of the maudlin or tearful , offer instead with its unflinching gaze measure of faith in the future ."
28,4,"... once the true impact of the day unfold , the power of this movie be undeniable ."
29,1,"a `` home alone `` film that be stag like `` rosemary 's baby , `` but be not as well conceive as either of those film ."
30,1,"bigelow handle the nuclear crisis sequence evenly but milk drama when she should be build suspense , and drag out too many scene toward the end that should move quickly ."
31,4,"as director , paxton be surprisingly brilliant , deftly sew together what could have be confusing and horrify vision into an intense and engross head trip ."
32,4,it 's glorious spectacle like those.w. griffith make in the early day of silent film .
33,4,this be one of the outstanding thriller of recent year .
