Id,Category,Sentence
0,3,"-LRB- The film -RRB- negotiates the topic of relationships in such an uncomplicated, emotionally honest manner that at the end it's impossible to tell whether the movie was largely pessimistic phrase or whether it softened a bit of hope."
1,2,"In a lavish, intoxicatingly distasteful fashion."
2,4,It's also wonderfully played.
3,1,But like in silence the film gets under your skin.
4,2,They did it with an innocent but burning conviction that our Hollywood has all but lost.
5,2,Director David Jacobson tells Dahmer that the killer should never shed his victims.
6,4,"Taken together, Cletis Tout is a prize-winning comedy that continually inspires the imagination and tickles the laughing muscles of the lem pugilist."
7,1,The film is far too impressed by its own serious insights to apportion much entertainment value.
8,1,< br > -LRB _ Hopkins -RRB- did not launch by phone.
9,4,Adorable fun.
10,1,Too bland and shabby to be truly prudish.
11,4,Ozpetek's efforts are in the scope and shape of one of the most well-executed television shows.
12,1,"As the Mediterranean sparkles, ""Moved"" sets."
13,3,Laughter and insight into one of the hardest times a child can go through.
14,3,"Uneven, but very amusing."
15,4,"Compared with the usual bleaker festival entries, Davis' highly personal romantic comedy is a stern, intelligent air that lifts off from the rest, even if the paintings in themselves seem somewhat problematic."
16,3,The sheer joy and pride which they felt in their work - and in each other - permeates each of their frames.
17,2,"This film seems motivated more by the desire to compare mortar chalkboards to the Society of Dead Poets olympics and Good Will Hunting, than by its own story."
18,1,"He doesn't really know the protagonists and doesn't care about them, he often uses them as a marker for a bunch of predetermined events."
19,0,"Dissociate yourself by throwing out so many red herrings, so many false fears that no one really speaks up."
20,4,record Schnitzler is proving an accomplished pacemaker and stylist on his US debut.
21,2,"""Home Movie"" is the film-mature equivalent of a lovingly illustrated sheet."
22,3,"It is anything but a fuming piece, and the characters are multilayered, laden with baggage and interwoven with tragic undertones."
23,1,These characters are getting tired.
24,3,"George Lucas is back as a visionary, with a story full of nuances and dimensions of character."
25,3,"It is the film about growing up that we don't see often enough: realistic, urgent, not coated in even the slightest sugar."
26,3,"My Big Fat Greek Wedding is a rare beast known as the ""perfect family film"" to name a few, because it's all about family photos."
27,1,Overloaded with complicated conspiracy theories and banal dialogues
28,4,This deeply moving melodrama is made memorable by excellent performances from Jacqueline Bisset and Martha Plimpton.
29,4,The real-time film never loses its ability to shock and surprise.
30,2,"No doubt Epps will score a goal or two, but when he falls to the ground about 50 feet down, he knows that the funniest moment is just around the corner."
31,3,-LRB- A -RRB- satisfactory node
32,2,The vampire epic succeeds as an eerie action-packed trash of the highest quality.
33,0,"By that standard, he has failed."
34,3,The 31-year-old stars as the hugely popular Vin Diesel who is sure to put plenty of cash on the line.
35,3,An unobtrusive love affair that strikes a very sonorous chord.
36,4,This is the best Star Trek movie in a long time.
37,3,"Most memorable of all is that it's made on digital video, the tiny camera of which allows Shafer to navigate both small islands and large islands with considerable dexterity."
38,1,Fails so fundamentally on any conventional level it reaches some sort of digressive size.
39,4,It's the best comedy film I've seen since Cho's 2000 comedy I'm the One That I Want.
40,3,"""Return to Second Time Land"" may be Disney's latest shameless attempt to make dough at the behest of baby boomer families, but it's not half bad."
41,1,I am more likely to scratch my head than hide under my seat.
42,3,The performances are consistently good.
43,1,"A sharper, cleaner script would have secured that before it went to the camera."
44,1,What is really wrong with this order!
45,2,Striking and inelegant in her so-called message film.
46,0,"Humourless, confident and accurate, without any hint of intelligence or inventiveness."
47,3,"An interplay of children's entertainment, complex wit and symbolic graphic design."
48,1,"With three hours and very little presentation of the show or character development, enough space for editing and a significantly shorter editing would certainly have lost nothing of the cultural intrigue with its disciplined and focused narrative style."
49,4,"The plots are knitted together, the beautiful floating aerial images are breathtaking and the whole experience is impressive."
50,0,The whole film needs a fragrance bath.
51,1,"The film veers between sentimentality and tolerant, life-affirming moments straight from a mobile phone commercial."
52,2,LRB- A rare film that causes us to reevaluate and evaluate the basis of our lives in a world of meaningless activities.
53,2,"Has a delightful style of music to dance to, but its energy remains distinctive from the wit, humour and biting dialogue of the original."
54,2,Wallace conducts with such patronising reverence it creates a poignant stirring of the stomach.
55,4,You will probably love it.
56,1,More tiring than anything.
57,0,Something seems to have went wrong with the translation this time.
58,4,Sexy and romantic.
59,3,"In Lieutenant Maid in Manhattan, Jennifer Lopez's most aggressive and frank attempt to blow movie projects away, the diva has surrounded herself by the company of stern A-listers."
