Id,Category,Sentence
5402,2,near the end take on whole other meaning
10693,2,you really have to salute writer director haneke he adapt elfriede jelinek 's novel for make film that be't nearly as graphic but much more powerful brutally shock and difficult to watch
7226,1,often demented in good way but it be an uneven film for the most part
10242,1,a bore that tend to hammer home every one of its point
1767,1,not that any of us should be complain when film clock in around 90 minute these day but the plotting here leave lot to be desire
1063,2,courtney chase stuart with cell phone
5535,4,but the performance of pacino williams and swank keep the viewer wide awake all the way through
4557,3,writer director walter hill be in his hypermasculine element here once again able to inject some real vitality and even art into pulpy concept that in many other hand would be completely forgettable
1104,4,delight your sens and crash this wedding
10452,2,she 's not yet an actress not quite singer
5874,2,despite its raucous intent xxx be as conventional as nike ad and as rebellious as spring break
9656,0,if you 're over 25 have an iq over 90 and have driver 's license you should be able to find better entertainment
5066,1,vaguely interest but it 's just too too much
2204,0,muddle melodramatic paranormal romance be an all time low for kevin costner
5810,4,it 's feel good movie about which you can actually feel good
5868,3,sleek and arty
3019,0,the character be so generic and the plot so bland that even as rogue cia assassins work for chris cooper 's agency bos close in on the resourceful amnesiac we do't feel much for damon bourne or his predicament
1127,2,grow up quibble be beside the point here
1093,3,succeed as well make evocation of subculture
3180,2,wait for it to hit cable
7590,4,the aaa of action xxx be blast of adrenalin rat eee for excitement
10192,1,a horror movie with seriously dumb character which somewhat dilute the pleasure of watch them stalk by creepy crawly bug thing that live only in the darkness
3855,4,the writing be clever and the cast be appeal
3869,1,it 's movie that end with truckzilla for cryin ' out loud
3102,4,spiderman rock
7087,3,this be the stuff that disney movie be make of
538,3,after the first 10 minute which be worth see
8298,1,the movie do't think much of its character its protagonist or of us
7435,3,you 've already see city by the sea under variety of title but it 's worth yet another visit
11001,0,the irwins ' scene be fascinate the movie as whole be cheap junk and an insult to their death defying effort
1399,0,before long you 're desperate for the evening to end
4458,0,in other word it 's badder than bad
300,4,if horror movie 's primary goal be to frighten and disturb then they work spectacularly well shiver induce nerve rattle ride
225,1,as original and insightful as last week 's episode of behind the music
1140,0,big fat liar be little more than home alone raise to new self deprecate level
2003,2,the picture do't know it 's comedy
4390,4,though in some way similar to catherine breillat 's fat girl rain be the far superior film
10737,3,take you by the face stroke your cheek and coo beseechingly at you slow down shake off your tension and take this picture at its own breezy distract rhythm
803,1,whether it 's the bad movie of 2002 ca't say for sure memory of rollerball have fade and skip country bear
3537,0,in other word about as bad film you 're likely to see all year
519,2,the filmmaker lack the nerve to fully exploit the script 's potential for sick humor
2374,3,the concept be hoot
5856,3,about schmidt be nicholson 's goofy heartfelt mesmerize king lear
2178,4,run on the pure adrenalin of pacino 's performance
5035,1,a domestic melodrama with weak dialogue and biopic cliche
1326,3,jacquot 's strategy allow his cast the benefit of be able to give full performance while demonstrate vividly that the beauty and power of the opera reside primarily in the music itself
4744,1,it 's strange film one that be hard for me to warm up to
5661,3,a metaphor for modern day urban china search for its identity
571,2,a brilliant gag at the expense of those who pay for it and those who pay to see it
