Id,Category,Sentence,b_pred,e_pred,l_pred
2495,4,"For most of its footage , the new thriller proves that director M. Night Shyamalan can weave an eerie spell and that Mel Gibson can gasp , shudder and even tremble without losing his machismo .",4,3,4
1640,4,"unpretentious , charming , quirky , original",4,3,4
6697,4,"Twenty years later , E.T. is still a cinematic touchstone .",3,3,4
9261,4,"More intimate than spectacular , E.T. is carried less by wow factors than by its funny , moving yarn that holds up well after two decades .",3,3,4
3295,2,The film virtually chokes on its own self-consciousness .,0,1,2
6418,3,A winning and wildly fascinating work .,4,4,3
6602,2,"For all its plot twists , and some of them verge on the bizarre as the film winds down , Blood Work is a strong , character-oriented piece .",3,3,2
4170,2,"Harvard Man is a semi-throwback , a reminiscence without nostalgia or sentimentality .",2,3,2
9390,0,This is not one of the movies you 'd want to watch if you only had a week to live .,1,1,0
6613,2,Life on the rez is no picnic : this picture shows you why .,2,3,2
781,2,"There are things to like about Murder By Numbers -- but , in the end , the disparate elements do n't gel .",1,1,2
1687,2,"` Men in Black II creates a new threat for the MIB , but recycles the same premise .",1,1,2
10090,4,"Return to Never Land is reliable , standard Disney animated fare , with enough creative energy and wit to entertain all ages .",4,3,4
6071,4,"Provides the kind of ` laugh therapy ' I need from movie comedies -- offbeat humor , amusing characters , and a happy ending .",4,3,4
1773,4,"A thoughtful movie , a movie that is concerned with souls and risk and schemes and the consequences of one 's actions .",4,3,4
7708,2,But the execution is a flop with the exception of about six gags that really work .,2,1,2
1671,2,"The movie is n't horrible , but you can see mediocre cresting on the next wave .",1,1,2
7723,2,"If Deuces Wild had been tweaked up a notch it would have become a camp adventure , one of those movies that 's so bad it starts to become good .",1,1,2
9988,1,"Even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities .",3,3,1
258,0,"No big whoop , nothing new to see , zero thrills , too many flashbacks and a choppy ending make for a bad film .",1,1,0
1716,2,Cacoyannis is perhaps too effective in creating an atmosphere of dust-caked stagnation and labored gentility .,1,1,2
261,3,About Schmidt belongs to Nicholson .,2,2,3
485,2,"Supposedly based upon real , or at least soberly reported incidents , the film ends with a large human tragedy .",2,1,2
5335,0,"The notion of deleting emotion from people , even in an advanced Prozac Nation , is so insanely dysfunctional that the rampantly designed Equilibrium becomes a concept doofus .",0,1,0
4903,2,... passable enough for a shoot-out in the o.k. court house of life type of flick .,2,3,2
4520,2,"It 's harmless , diverting fluff .",2,3,2
4106,2,The best way to describe it is as a cross between Paul Thomas Anderson 's Magnolia and David Lynch 's Mulholland Dr.,1,3,2
4037,4,"What makes How I Killed My Father compelling , besides its terrific performances , is Fontaine 's willingness to wander into the dark areas of parent-child relationships without flinching .",3,3,4
2312,2,Deserves high marks for political courage but barely gets by on its artistic merits .,2,1,2
6053,4,Poetry in motion captured on film .,3,3,4
8050,0,"A so-so , made-for-TV something posing as a real movie .",2,1,0
1679,4,"Brims with passion : for words , for its eccentric , accident-prone characters , and for the crazy things that keep people going in this crazy life .",4,3,4
5207,3,Byler is too savvy a filmmaker to let this morph into a typical romantic triangle .,2,2,3
5890,2,"Not kids , who do n't need the lesson in repugnance .",2,1,2
1316,4,"Spielberg 's first real masterpiece , it deserved all the hearts it won -- and wins still , 20 years later .",4,3,4
11465,3,"A knowing look at female friendship , spiked with raw urban humor .",3,4,3
195,0,"Given the fact that virtually no one is bound to show up at theatres for it , the project should have been made for the tube .",1,1,0
1637,4,"finely crafted , finely written , exquisitely performed",4,3,4
194,0,This thing is virtually unwatchable .,1,1,0
612,0,"The movie is so resolutely cobbled together out of older movies that it even uses a totally unnecessary prologue , just because it seems obligatory .",0,1,0
6529,4,"... plenty of warmth to go around , with music and laughter and the love of family .",4,3,4
2447,0,Has the disjointed feel of a bunch of strung-together TV episodes .,1,1,0
6952,2,The obligatory break-ups and hook-ups do n't seem to have much emotional impact on the characters .,1,1,2
1184,2,"With lesser talents , High Crimes would be entertaining , but forgettable .",2,1,2
3471,2,ending .,2,1,2
3033,2,Is truth stranger than fiction ?,2,3,2
5583,2,"It may not be as cutting , as witty or as true as back in the glory days of Weekend and Two or Three Things I Know About Her , but who else engaged in filmmaking today is so cognizant of the cultural and moral issues involved in the process ?",3,3,2
4143,0,"A 94-minute travesty of unparalleled proportions , writer-director Parker seems to go out of his way to turn the legendary wit 's classic mistaken identity farce into brutally labored and unfunny hokum .",0,1,0
4746,3,"... a light , yet engrossing piece .",3,4,3
4719,3,Almost everyone growing up believes their family must look like `` The Addams Family '' to everyone looking in ... `` My Big Fat Greek Wedding '' comes from the heart ...,3,2,3
6468,0,There is nothing redeeming about this movie .,1,1,0
1805,4,"... once the true impact of the day unfolds , the power of this movie is undeniable .",3,3,4
6193,2,Maybe Thomas Wolfe was right : You ca n't go home again .,2,1,2
4177,1,- greaseballs mob action-comedy .,2,3,1
7306,1,-- that the ` true story ' by which All the Queen 's Men is allegedly `` inspired '' was a lot funnier and more deftly enacted than what 's been cobbled together onscreen .,4,2,1
3920,4,"Thanks to a small star with big heart , this family film sequel is plenty of fun for all .",4,3,4
3230,3,... Rogers 's mouth never stops shut about the war between the sexes and how to win the battle .,3,2,3
8808,2,"Oops , she 's really done it this time .",4,1,2
5092,4,"An amusing and unexpectedly insightful examination of sexual jealousy , resentment and the fine line between passion and pretence .",4,3,4
4837,4,"A fine production with splendid singing by Angela Gheorghiu , Ruggero Raimondi , and Roberto Alagna .",4,3,4
2432,3,Cut through the layers of soap-opera emotion and you find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most .,2,2,3
2768,4,... a good film that must have baffled the folks in the marketing department .,2,2,4
5863,3,Paid in Full is remarkably engaging despite being noticeably derivative of Goodfellas and at least a half dozen other trouble-in-the-ghetto flicks .,3,2,3
1011,4,"This is a stunning film , a one-of-a-kind tour de force .",4,3,4
