Id,Category,Sentence,b_pred,e_pred,l_pred
275,3,"Ludicrous , but director Carl Franklin adds enough flourishes and freak-outs to make it entertaining .",3,3,3
466,1,"Quitting , however , manages just to be depressing , as the lead actor phones in his autobiographical performance .",1,1,1
1715,3,The strength of the film lies in its two central performances by Sven Wollter as the stricken composer and Viveka Seldahl as his desperate violinist wife .,3,3,3
789,3,A tasty masala .,3,3,3
10500,3,"Angel presents events partly from the perspective of Aurelie and Christelle , and infuses the film with the sensibility of a particularly nightmarish fairytale .",3,3,3
7441,3,"A terrific date movie , whatever your orientation .",3,3,3
8806,1,... too sappy for its own good .,1,1,1
8013,3,"While the now 72-year-old Robert Evans been slowed down by a stroke , he has at least one more story to tell : his own .",3,3,3
7654,3,"Despite Besson 's high-profile name being Wasabi 's big selling point , there is no doubt that Krawczyk deserves a huge amount of the credit for the film 's thoroughly winning tone .",3,3,3
10005,3,There has been a string of ensemble cast romances recently ... but Peter Mattei 's Love in the Time of Money sets itself apart by forming a chain of relationships that come full circle to end on a positive -LRB- if tragic -RRB- note .,3,3,3
4711,4,One of the best looking and stylish animated movies in quite a while ...,4,4,4
8862,4,Jeffs has created a breathtakingly assured and stylish work of spare dialogue and acute expressiveness .,4,4,4
1285,4,"Kids five and up will be delighted with the fast , funny , and even touching story .",4,4,4
3208,1,The movie is like Scorsese 's Mean Streets redone by someone who ignored it in favor of old ` juvenile delinquent ' paperbacks with titles like Leather Warriors and Switchblade Sexpot .,1,1,1
11147,3,"`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''",3,3,3
9,4,Delirious fun .,4,4,4
7452,1,It 's just not very smart .,1,1,1
18,1,"It does n't really know or care about the characters , and uses them as markers for a series of preordained events .",1,1,1
520,1,"It 's as if Solondz had two ideas for two movies , could n't really figure out how to flesh either out , so he just slopped ` em together here .",1,1,1
6641,1,The modern-day royals have nothing on these guys when it comes to scandals .,1,1,1
686,1,"Nothing wrong with performances here , but the whiney characters bugged me .",1,1,1
8002,3,Lightweight but appealing .,3,3,3
10176,1,This story of unrequited love does n't sustain interest beyond the first half-hour .,1,1,1
1791,1,"can be as tiresome as 9 seconds of Jesse Helms ' anti- Castro rhetoric , which are included",1,1,1
6481,1,"It plods along methodically , somehow under the assumption that its `` dead wife communicating from beyond the grave '' framework is even remotely new or interesting .",1,1,1
9561,1,Resurrection has the dubious distinction of being a really bad imitation of the really bad Blair Witch Project .,1,1,1
6178,1,Two badly interlocked stories drowned by all too clever complexity .,1,1,1
8564,1,The movie generates plot points with a degree of randomness usually achieved only by lottery drawing .,1,1,1
2740,3,"While somewhat less than it might have been , the film is a good one , and you 've got to hand it to director George Clooney for biting off such a big job the first time out .",3,3,3
5811,4,"A comedy that is warm , inviting , and surprising .",4,4,4
3101,3,"The leaping story line , shaped by director Peter Kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .",3,3,3
1207,1,"I was feeling this movie until it veered off too far into the Exxon zone , and left me behind at the station looking for a return ticket to realism .",1,1,1
375,3,Coral Reef Adventure is a heavyweight film that fights a good fight on behalf of the world 's endangered reefs -- and it lets the pictures do the punching .,3,3,3
316,3,The film grows on you .,3,3,3
1858,3,He allows his cast members to make creative contributions to the story and dialogue .,3,3,3
1257,3,A story about intelligent high school students that deals with first love sweetly but also seriously .,3,3,3
2660,3,Manages to please its intended audience -- children -- without placing their parents in a coma-like state .,3,3,3
6678,3,"If you think it 's a riot to see Rob Schneider in a young woman 's clothes , then you 'll enjoy The Hot Chick .",3,3,3
5921,3,"A directorial tour de force by Bernard Rose , ivans xtc .",3,3,3
6722,3,A lot smarter than your average Bond .,3,3,3
451,1,The problem with all of this : It 's not really funny .,1,1,1
10213,1,"Although it starts off so bad that you feel like running out screaming , it eventually works its way up to merely bad rather than painfully awful .",1,1,1
7740,3,A decent-enough nail-biter that stands a good chance of being the big hit Franklin needs to stay afloat in Hollywood .,3,3,3
3749,1,"With its lackadaisical plotting and mindless action , All About the Benjamins evokes the bottom tier of blaxploitation flicks from the 1970s .",1,1,1
5900,3,"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '",3,3,3
2782,3,An intelligent romantic thriller of a very old-school kind of quality .,3,3,3
1976,1,First-time director João Pedro Rodrigues ' unwillingness to define his hero 's background or motivations becomes more and more frustrating as the film goes on .,1,1,1
6517,3,"Entirely appropriately , the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn .",3,3,3
9031,3,"A whole lot of fun and funny in the middle , though somewhat less hard-hitting at the start and finish .",3,3,3
3112,1,The biggest problem with Satin Rouge is Lilia herself .,1,1,1
7953,3,"There is little question that this is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should be playing out .",3,3,3
5898,1,The leads we are given here are simply too bland to be interesting .,1,1,1
2821,1,This picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .,1,1,1
2434,3,"Could use a little more humanity , but it never lacks in eye-popping visuals .",3,3,3
1878,3,"An earnest , roughshod document , it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool .",3,3,3
10093,1,"It takes a really long , slow and dreary time to dope out what TUCK EVERLASTING is about .",1,1,1
4586,3,Horns and Halos benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth .,3,3,3
3399,3,"Neither the funniest film that Eddie Murphy nor Robert De Niro has ever made , Showtime is nevertheless efficiently amusing for a good while .",3,3,3
8157,1,"It looks good , but it is essentially empty .",1,1,1
550,3,The production values are of the highest and the performances attractive without being memorable .,3,3,3
6210,4,"A sensitive , moving , brilliantly constructed work .",4,4,4
4313,1,"The story has its redundancies , and the young actors , not very experienced , are sometimes inexpressive .",1,1,1
4324,1,"Clockstoppers is one of those crazy , mixed-up films that does n't know what it wants to be when it grows up .",1,1,1
7963,1,"The Merchant-Ivory team continues to systematically destroy everything we hold dear about cinema , only now it 's begun to split up so that it can do even more damage .",1,1,1
2617,1,There 's a reason why halftime is only fifteen minutes long .,1,1,1
1962,3,Rubbo 's humorously tendentious intervention into the who-wrote-Shakespeare controversy .,3,3,3
6105,3,"It 's the perfect star vehicle for Grant , allowing him to finally move away from his usual bumbling , tongue-tied screen persona .",3,3,3
7549,4,"A smart , sassy and exceptionally charming romantic comedy .",4,4,4
1901,3,A lovably old-school Hollywood confection .,3,3,3
8033,3,"Although the subject matter may still be too close to recent national events , the film works - mostly due to its superior cast of characters .",3,3,3
2404,1,I have a confession to make : I did n't particularly like E.T. the first time I saw it as a young boy .,1,1,1
7881,3,A cutesy romantic tale with a twist .,3,3,3
2081,3,The film has several strong performances .,3,3,3
3170,4,"Hard , endearing , caring , warm .",4,4,4
647,4,This is one of the year 's best films .,4,4,4
4321,3,"Filmmakers Dana Janklowicz-Mann and Amir Mann area headed east , Far East , in retelling a historically significant , and personal , episode detailing how one international city welcomed tens of thousands of German Jewish refugees while the world 's democracie",3,3,3
3777,3,"Crudup 's screen presence is the one thing that holds interest in the midst of a mushy , existential exploration of why men leave their families .",3,3,3
551,3,"Jeong-Hyang Lee 's film is deceptively simple , deeply satisfying .",3,3,3
10249,2,Buy popcorn .,2,2,2
986,3,And it is .,3,3,3
479,3,"However , it 's pleasant enough and its ecological , pro-wildlife sentiments are certainly welcome .",3,3,3
8491,3,"A college story that works even without vulgarity , sex scenes , and cussing !",3,3,3
10,1,Too bland and fustily tasteful to be truly prurient .,1,1,1
22,3,"It 's far from a frothy piece , and the characters are complex , laden with plenty of baggage and tinged with tragic undertones .",3,3,3
27,1,overburdened with complicated plotting and banal dialogue,1,1,1
37,3,"What 's most memorable about Circuit is that it 's shot on digital video , whose tiny camera enables Shafer to navigate spaces both large ... and small ... with considerable aplomb .",3,3,3
48,1,"At three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .",1,1,1
53,2,"Has an uppity musical beat that you can dance to , but its energy ca n't compare to the wit , humor and snappy dialogue of the original .",2,2,2
108,4,"A shimmeringly lovely coming-of-age portrait , shot in artful , watery tones of blue , green and brown .",4,4,4
116,1,"Proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness .",1,1,1
117,3,"The filmmakers try to balance pointed , often incisive satire and unabashed sweetness , with results that are sometimes bracing , sometimes baffling and quite often , and in unexpected ways , touching .",3,3,3
118,1,"The script covers huge , heavy topics in a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people .",1,1,1
137,4,"Brutally honest and told with humor and poignancy , which makes its message resonate .",4,4,4
139,3,Roman Polanski 's autobiographical gesture at redemption is better than ` Shindler 's List ' - it is more than merely a Holocaust movie .,3,3,3
169,1,Just because A Walk to Remember is shrewd enough to activate girlish tear ducts does n't mean it 's good enough for our girls .,1,1,1
172,3,Reno himself can take credit for most of the movie 's success .,3,3,3
191,3,So purely enjoyable that you might not even notice it 's a fairly straightforward remake of Hollywood comedies such as Father of the Bride .,3,3,3
208,3,"Skin Of Man gets a few cheap shocks from its kids-in-peril theatrics , but it also taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults .",3,3,3
219,2,Please .,2,2,2
248,3,It 's a sharp movie about otherwise dull subjects .,3,3,3
269,3,"Well , it probably wo n't have you swinging from the trees hooting it 's praises , but it 's definitely worth taking a look .",3,3,3
301,1,An imponderably stilted and self-consciously arty movie .,1,1,1
320,4,"A terrific B movie -- in fact , the best in recent memory .",4,4,4
358,3,"A sweet , tender sermon about a 12-year-old Welsh boy more curious about God than girls , who learns that believing in something does matter .",3,3,3
366,1,"Barney 's ideas about creation and identity do n't really seem all that profound , at least by way of what can be gleaned from this three-hour endurance test built around an hour 's worth of actual material .",1,1,1
394,2,Did it move me to care about what happened in 1915 Armenia ?,2,2,2
405,3,There is something that is so meditative and lyrical about Babak Payami 's boldly quirky Iranian drama Secret Ballot ... a charming and evoking little ditty that manages to show the gentle and humane side of Middle Eastern world politics,3,3,3
416,3,Devos delivers a perfect performance that captures the innocence and budding demons within a wallflower .,3,3,3
497,1,"In old-fashioned screenwriting parlance , Ms. Shreve 's novel proved too difficult a text to ` lick , ' despite the efforts of a first-rate cast .",1,1,1
503,1,"A zippy 96 minutes of mediocre special effects , hoary dialogue , fluxing accents , and -- worst of all -- silly-looking Morlocks .",1,1,1
518,2,There has to be a few advantages to never growing old .,2,2,2
523,1,Check your brain and your secret agent decoder ring at the door because you do n't want to think too much about what 's going on .,1,1,1
529,1,"Let 's see , a haunted house , a haunted ship , what 's next ... Ghost Blimp ?",1,1,1
592,3,"Like Smoke Signals , the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama",3,3,3
628,3,-LRB- Grant -RRB- goes beyond his usual fluttering and stammering and captures the soul of a man in pain who gradually comes to recognize it and deal with it .,3,3,3
633,1,This is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action .,1,1,1
683,1,Cherish is a dud -- a romantic comedy that 's not the least bit romantic and only mildly funny .,1,1,1
693,2,"Those who love Cinema Paradiso will find the new scenes interesting , but few will find the movie improved .",2,2,2
770,1,Lan Yu seems altogether too slight to be called any kind of masterpiece .,1,1,1
811,3,"The filmmakers want nothing else than to show us a good time , and in their cheap , B movie way , they succeed .",3,3,3
816,1,Eight Legged Freaks falls flat as a spoof .,1,1,1
835,3,"The Lady and the Duke is a smart , romantic drama that dares to depict the French Revolution from the aristocrats ' perspective .",3,3,3
855,3,"There is a certain sense of experimentation and improvisation to this film that may not always work , but it is nevertheless compelling .",3,3,3
863,4,"Invigorating , surreal , and resonant with a rainbow of emotion .",4,4,4
871,3,But not without cheesy fun factor .,3,3,3
874,3,"The low-key direction is pleasingly emphatic in this properly intense , claustrophobic tale of obsessive love .",3,3,3
886,1,"Here 's a case of two actors who do everything humanly possible to create characters who are sweet and believable , and are defeated by a screenplay that forces them into bizarre , implausible behavior .",1,1,1
892,4,A stylish thriller .,4,4,4
913,3,All three women deliver remarkable performances .,3,3,3
928,3,The film presents visceral and dangerously honest revelations about the men and machines behind the curtains of our planet .,3,3,3
937,3,"Niccol the filmmaker merges his collaborators ' symbolic images with his words , insinuating , for example , that in Hollywood , only God speaks to the press",3,3,3
978,3,... there is enough originality in ` Life ' to distance it from the pack of paint-by-number romantic comedies that so often end up on cinema screens .,3,3,3
1006,3,"It 's not nearly as fresh or enjoyable as its predecessor , but there are enough high points to keep this from being a complete waste of time .",3,3,3
1013,2,The symbols float like butterflies and the spinning styx sting like bees .,2,2,2
1034,1,What begins brightly gets bogged down over 140 minutes .,1,1,1
1039,1,"... familiar and predictable , and 4\/5ths of it might as well have come from a Xerox machine rather than -LRB- writer-director -RRB- Franc .",1,1,1
1057,1,I do n't think so .,1,1,1
1125,3,A reasonably entertaining sequel to 1994 's surprise family hit that may strain adult credibility .,3,3,3
1129,1,"Woody , what happened ?",1,1,1
1133,4,One of the most exciting action films to come out of China in recent years .,4,4,4
1174,3,"It throws quirky characters , odd situations , and off-kilter dialogue at us , all as if to say , `` Look at this !",3,3,3
1205,1,"Rumor , a muddled drama about coming to terms with death , feels impersonal , almost generic .",1,1,1
1224,1,Something has been lost in the translation ... another routine Hollywood frightfest in which the slack execution italicizes the absurdity of the premise .,1,1,1
1229,3,A sharp satire of desperation and cinematic deception .,3,3,3
1231,1,"Presents nothing special and , until the final act , nothing overtly disagreeable .",1,1,1
1250,1,"Coupling disgracefully written dialogue with flailing bodily movements that substitute for acting , Circuit is the awkwardly paced soap opera-ish story .",1,1,1
1302,3,Weighty and ponderous but every bit as filling as the treat of the title .,3,3,3
1326,3,Jacquot 's strategy allows his cast the benefit of being able to give full performances ... while demonstrating vividly that the beauty and power of the opera reside primarily in the music itself .,3,3,3
1372,3,The Wild Thornberrys Movie is pleasant enough and the message of our close ties with animals can certainly not be emphasized enough .,3,3,3
1405,3,Nice piece of work .,3,3,3
1408,3,"The Saigon of 1952 is an uneasy mix of sensual delights and simmering violence , and The Quiet American brings us right into the center of that world .",3,3,3
1422,1,It 's easy to love Robin Tunney -- she 's pretty and she can act -- but it gets harder and harder to understand her choices .,1,1,1
1429,1,A cartoon ?,1,1,1
1444,1,Blue Crush is so prolonged and boring it is n't even close to being the barn-burningly bad movie it promised it would be .,1,1,1
1489,3,"If you can push on through the slow spots , you 'll be rewarded with some fine acting .",3,3,3
1516,1,"This mild-mannered farce , directed by one of its writers , John C. Walsh , is corny in a way that bespeaks an expiration date passed a long time ago .",1,1,1
1540,3,`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era,3,3,3
1574,3,Should be required viewing for civics classes and would-be public servants alike .,3,3,3
1631,1,Cal is an unpleasantly shallow and immature character with whom to spend 110 claustrophobic minutes .,1,1,1
1658,1,If only Merchant paid more attention the story .,1,1,1
1711,1,Does not go far enough in its humor or stock ideas to stand out as particularly memorable or even all that funny .,1,1,1
1726,1,"Not a strike against Yang 's similarly themed Yi Yi , but I found What Time ?",1,1,1
1741,4,A captivating new film .,4,4,4
1751,3,"There are so few films about the plight of American Indians in modern America that Skins comes as a welcome , if downbeat , missive from a forgotten front .",3,3,3
