Id,Category,Sentence,b_pred,e_pred,l_pred
4145,3,"So genial is the conceit , this is one of those rare pictures that you root for throughout , dearly hoping that the rich promise of the script will be realized on the screen .",3,3,2
4649,2,The movie does has some entertainment value - how much depends on how well you like Chris Rock .,2,2,0
10122,1,"There 's a little violence and lots of sex in a bid to hold our attention , but it grows monotonous after a while , as do Joan and Philip 's repetitive arguments , schemes and treachery .",1,1,2
10819,1,One of those decades-spanning historical epics that strives to be intimate and socially encompassing but fails to do justice to either effort in three hours of screen time .,1,1,2
3291,1,"A mediocre exercise in target demographics , unaware that it 's the butt of its own joke .",1,1,3
2752,3,that works .,3,3,1
6254,2,"Though excessively tiresome , The Uncertainty Principle , as verbally pretentious as the title may be , has its handful of redeeming features , as long as you discount its ability to bore .",2,2,3
7256,1,"The great pity is that those responsible did n't cut their losses -- and ours -- and retitle it The Adventures of Direct-to-Video Nash , and send it to its proper home .",1,1,2
4527,1,"Halfway through , however , having sucked dry the undead action flick formula , Blade II mutates into a gross-out monster movie with effects that are more silly than scary .",1,1,0
4802,1,"Nohe has made a decent ` intro ' documentary , but he feels like a spectator and not a participant .",1,1,2
7805,3,It 's better than The Phantom Menace .,3,3,1
8484,3,"It is OK for a movie to be something of a sitcom apparatus , if the lines work , the humor has point and the actors are humanly engaged .",3,3,2
5474,3,"An unforgettable look at morality , family , and social expectation through the prism of that omnibus tradition called marriage .",3,3,4
11377,3,"Skins has a desolate air , but Eyre , a Native American raised by white parents , manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor .",3,3,4
8724,1,... another example of how Sandler is losing his touch .,1,1,4
7327,3,"Hashiguchi vividly captures the way young Japanese live now , chafing against their culture 's manic mix of millennial brusqueness and undying , traditional politesse .",3,3,4
4567,3,"It 's an interesting effort -LRB- particularly for JFK conspiracy nuts -RRB- , and Barry 's cold-fish act makes the experience worthwhile .",3,3,2
8192,3,An instance of an old dog not only learning but inventing a remarkable new trick .,3,3,2
5815,3,"American musical comedy as we know it would n't exist without the precedent of Yiddish theater , whose jolly , fun-for-fun 's - sake communal spirit goes to the essence of Broadway .",3,3,1
8044,4,"Gay or straight , Kissing Jessica Stein is one of the greatest date movies in years .",4,4,2
9683,3,"What enlivens this film , beyond the astute direction of Cardoso and beautifully detailed performances by all of the actors , is a note of defiance over social dictates .",3,3,4
2383,1,"Stinks from start to finish , like a wet burlap sack of gloom .",1,1,0
9842,2,"Despite the holes in the story and the somewhat predictable plot , moments of the movie caused me to jump in my chair ...",2,2,1
10414,1,"A boring masquerade ball where normally good actors , even Kingsley , are made to look bad .",1,1,3
4480,3,A hypnotic cyber hymn and a cruel story of youth culture .,3,3,4
2398,3,"While Insomnia is in many ways a conventional , even predictable remake , Nolan 's penetrating undercurrent of cerebral and cinemantic flair lends -LRB- it -RRB- stimulating depth .",3,3,1
5494,1,"Though there are entertaining and audacious moments , the movie 's wildly careening tone and an extremely flat lead performance do little to salvage this filmmaker 's flailing reputation .",1,1,3
6304,1,"Once the downward spiral comes to pass , Auto Focus bears out as your typical junkie opera ...",1,1,3
6527,1,The skirmishes for power waged among victims and predators settle into an undistinguished rhythm of artificial suspense .,1,1,3
6490,1,"A disaster of a drama , saved only by its winged assailants .",1,1,3
11464,1,Formula 51 promises a new kind of high but delivers the same old bad trip .,1,1,2
8329,1,The filmmakers needed more emphasis on the storytelling and less on the glamorous machine that thrusts the audience into a future they wo n't much care about .,1,1,3
955,2,"A respectable venture on its own terms , lacking the broader vision that has seen certain Trek films ... cross over to a more mainstream audience .",2,2,0
2606,4,"A compelling , gut-clutching piece of advocacy cinema that carries you along in a torrent of emotion as it explores the awful complications of one terrifying day .",4,4,3
4853,1,Overly long and worshipful bio-doc .,1,1,0
1636,1,"Despite slick production values and director Roger Michell 's tick-tock pacing , the final effect is like having two guys yelling in your face for two hours .",1,1,3
10011,3,And educational !,3,3,4
6068,1,"Although Disney follows its standard formula in this animated adventure , it feels more forced than usual .",1,1,3
8111,2,"Though it flirts with bathos and pathos and the further Oprahfication of the world as we know it , it still cuts all the way down to broken bone .",2,2,3
5754,2,"You get the idea , though , that Kapur intended the film to be more than that .",2,2,1
7676,3,It 's a solid movie about people whose lives are anything but .,3,3,4
4401,1,A reworking of Die Hard and Cliffhanger but it 's nowhere near as exciting as either .,1,1,2
69,1,"The filmmakers are playing to the Big Boys in New York and L.A. To that end , they mock the kind of folks they do n't understand , ones they figure the power-lunchers do n't care to understand , either .",1,1,3
4275,3,"Everybody loves a David and Goliath story , and this one is told almost entirely from David 's point of view .",3,3,4
1527,1,"Gets the look and the period trappings right , but it otherwise drowns in a sea of visual and verbal clichés .",1,1,2
533,3,"The movie itself is far from disappointing , offering an original take on courtroom movies , a few nifty twists that are so crucial to the genre and another first-rate performance by top-billed star Bruce Willis .",3,3,2
4195,3,Caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose .,3,3,1
1600,2,I wish Windtalkers had had more faith in the dramatic potential of this true story .,2,2,4
2656,3,"S1M0NE 's satire is not subtle , but it is effective .",3,3,1
8000,1,"For all its brilliant touches , Dragon loses its fire midway , nearly flickering out by its perfunctory conclusion .",1,1,3
1725,3,We 're drawn in by the dark luster .,3,3,1
5610,1,"Still , it just sits there like a side dish no one ordered .",1,1,3
2592,1,"Russell lacks the visual panache , the comic touch , and perhaps the budget of Sommers 's title-bout features .",1,1,3
5147,1,"Kicks off with an inauspicious premise , mopes through a dreary tract of virtually plotless meanderings and then ends with a whimper .",1,1,4
5034,1,"Ice Cube is n't quite out of ripe screwball ideas , but Friday After Next spreads them pretty thin .",1,1,3
