Id,Category,Sentence
0,4,The beautiful widescreen photography by Brian Tufano and the excellent music by Paul Grabowsky transform this rather mediocre melodrama into something quite special.
1,3,"It may not be a great piece of filmmaking, but its power comes from the heart perspective, how pitiful paternalization masks lack of social justice, at least as illustrated in this case."
2,3,"It won't be everyone's popcorn bag, but it definitely does make them chew."
3,3,"Like its bizarre heroine, it pours our soul."
4,3,If you think you're getting married too late it hurls you out.
5,4,So this is probably one of the best war films of all time if there is an appeal on one bloody Sunday to take preventive action rather than point fingers.
6,0,... hypnotically dull.
7,1,"The tale of breitbart and Hanussen is actually fascinating, but making film, in invincibility, should not play well with them."
8,2,A brilliant tee shot to get us started.
9,2,Scenario which will make most parents pause... then something terrible happens.
10,2,"In the long, dishonest history of quickie teen pop, the mic caught your eye by only its partly synthetic decency."
11,2,", made practically impossible by events which set the action in motion."
12,1,"the screenplay from james eric, james horton and director peter 'fallon... is so natural that your teeth hurt."
13,2,It's the artifice by which the Academy turns an otherwise rarely persuasive film into powerful political news.
14,2,Show me the raid.
15,4,"mr. caine and mr fraser will be here for the whole show, with their memorable and imaginative play."
16,3,"For any kitschy scenario, however, there's a cool movie sketch of the future of holographic librarians, who know everything, can answer any question, be optically clever, agile, and simply achieve."
17,1,"Too slow for the young, too flat for the old."
18,4,They deserve more than that girl.
19,2,"Just as unthinkable as the tepid Star Trek uprising was that the villain was unable to collect the cash and serve it half-nose, generations earlier."
20,3,"If you still cannot quite take the Arzneistrasse (the high point of his career) that the pianist set for Roman Polanski, it is nonetheless convincing that Werner still makes us marvel at the manifold, wonderfully twisted forms history has taken."
21,2,a film which drags you down and fogs you down even if you do not even like being the one.
22,2,"Affleck merely created a sketch for roles he still had to transient into, roles he could fill effortlessly with authority."
23,0,"These ""Black Caviar"" might not be 1970s animations, but everyone else in it is straight out of the Saturday morning cartoon retread story, bad stroke and the old stupidity."
24,4,It is the brilliant surf photography that takes you directly inside the powerful wave making Blue Crush one of the most entertaining movies of the summer.
25,3,... an endearingly whimsical comedy that deserves more than a passing wink of an eye.
26,2,"as a boy vividly recollects the carious reservations for the disposal of yet another houseboat and parents ""goose in his loving description of a gentle war between a resentful, irresponsible man and a child clinging to him."
27,4,"Subtle and haunting at the same time, the film never succumbs to Maudlin's trap or to its tears, and instead shows, with its unshakable gaze, a measure of confidence in the future."
28,4,"... Once the real impact of the day has been felt, the power of this film will be undeniable."
29,1,"A film in which 之 the victim is a deer ""like a baby rosemary"" but not as recognizable at first glance as this one."
30,1,"Bigelow steers the nuclear crisis sequence smoothly, but does not become comedy when it should build tension and surrounds too many scenes with climactic effects toward the end."
31,4,"As director, Paxton is surprisingly brilliant, cleverly combining what should have puzzled and horrified you into a profound and engrove-going drama."
32,4,It's glorious acting like those.w. that takes you back to the early days of silent films.
33,4,That would mean one of the stand-out thrillers of the past year.
34,1,"The film's big shock is the role of the eccentric nympho Juliette Lewis who plays Salt of the Earth mom Minnie, watching slender women scrape into a sexy piece of incognito in ridiculous wigs that no serious carnival costume store would ever sell."
35,3,Two know how to inflate the commonplace into the scarifying one and how to achieve full mileages in case of stray tons or the unexpected explosion of turntables.
36,3,"Because the film lacks momentum, and its position remains largely indefinable, the director's experiment could be successful."
37,3,"the challenge, this nervous weirdness, as it is modern art should."
38,3,This is a clever and effective film from a director who knows how to create and maintain the spirit.
39,4,He should be the best this year and the best incredible.
40,1,"The chickens are so funny and the acting so good, it's a shame that so much of the film's classic slapstick nonsense returns."
41,3,tsai convincingly paints an accurate urban sense of dissociation.
42,3,"Her flame-like, black and white smouldering colour inspired tremor and gratitude."
43,2,"Initially they ring alarm bells, before sinking into a sentimentality bog."
44,4,"a delicious, whimsical film with an amazing script and a fantastic director from michael gondry."
45,3,"A thriller whose style, structure, and rhythm are so incorporated into the story that they cannot be separated."
46,1,"Telegraph so far in advance, they must have lost at the Post Office."
47,1,And ever see a comedy like that which looks like a bad idea right from the helm?
48,1,"They are poorly edited, often clumsily direct, suffering from the unnecessary scenario that evolved out of the game 深 durch der Vorziehscenario, in order to underpin the character's story with a wedge story. """
49,1,"Director and writer Robert Menzel fail to inspire interest in silent 変のErmittlungen (""Word Small""), trapped within a toasty plotline that, while cleverly worked out, fails to overcome its sonorities."
50,1,"Talk need not necessarily be bad, but dialogues often miss the mark."
51,1,"The only teenagers who may enjoy the film are babies, who might be distracted by the movie's fast motion and tone."
52,2,"The animation alone serves predictability, which bombards both Bambi Küste and Lion King with challenges without appreciating the emotional resonance of both of the films."
53,3,"The extremely primitive animated special effect helps to 磷, so that the mood is even maintained by the surprisingly gloomy conclusion."
54,0,"Steelworkers aren't people who care about 彦, wit, or any other form of intelligent humour."
55,3,Pushing and sensitively complex.
56,0,"A boring, sleepless acrobatic work whose omnipresent calm is interrupted by frequent instances of violence and noise."
57,4,A persuasive piece of lobby cinema which takes you into emotional currents to be cautious about exploring the terrible complications of a terrible day.
