Id,Category,Sentence
0,3,"- The film RRB (Givers) deals with relation problems so forthrightly and emotionally honest that, in the end, it is impossible to determine if the film is deeply mystical or dream-inspiring."
1,2,"Greedy, funny, tasteless."
2,4,<unk> is also expected to return to action.
3,1,"But, like Silence, it's a film that gets under your skin."
4,2,It was done with an innocent but hard-line conviction that our Hollywood had almost lost.
5,2,Director David Jacobson is mindful that a killer never plays to his victims.
6,4,"Overall, ""Klytis Tout"" is a winning comedy, rpping out the imagination and hardening the funny bone."
7,1,The film just too impressed with its own solemnity to develop much entertainment value.
8,1,"Mesallance-Lobkins-Hopkins-RBS, ň in his speech not so much by telephone as by fax."
9,4,Offensive fun.
10,1,Too black and infamously taste too good to be true prudence.
11,4,Ozpetek's achievements are in the scope and shape of a particularly well-performed television film.
12,1,"As the Mediterranean fire sets in, the ""See Away"" sinks in."
13,3,Laughter and a look at the smart age a child can mature into.
14,3,"Unpleasant, but fun."
15,4,"Compared with the usual, grittier festival setting, Davies ""highly personal romantic comedy is a wacky delight, a smart breath of fresh air sticking out of the pack even if the picture itself is slightly bad."
16,3,The deep joy and pride they felt for their work - and for each other - runs in every shot.
17,2,A movie that seems to be motivated more by a desire for harmonisation between Dead Poets Society and Good Will Hunting than by its own history.
18,1,"His character does not really know or care about the characters, but uses them as markers for a series of pre-published events."
19,0,"Dissociate yourselves from others by throwing out so many red lights, so many fake scarves that the real ones can barely register."
20,4,"In his American debut, Feller proved that he is a deft pace master and a stylists."
21,2,"The movie, ""Home Campaign,"" is the film equivalent of a lovingly decorated cafe."
22,3,"Far from being a frothy work, this is a complex performance, full of platitudes, and a tragic sub-text."
23,1,These characters are becoming strange.
24,3,George Lucas returns as a movie actor with a narrative full of nuance and character.
25,3,"It is the type of coming-of-age film that we see less frequently nowadays: realistic, relevant, and not at all condescending."
26,3,My Great Pacific Wedding is the rare film called the perfect family film because it is about family.
27,1,An abundance of complex intrigues and banal dialogue
28,4,The insightful performances of Jacqueline Bisset and Martha Plimpton amply develop this profoundly moving drama.
29,4,It's a film that's live and undiminished and shocking.
30,2,"Whether Emery scored one or two goals is beyond doubt, but his most amusing moment will come when he falls a foot on his head."
31,3,-LRB- A -RRB- satisfactory niblet.
32,2,Epic vampire succeeds as a neat fighter of the highest order.
33,0,"By that measure, this is a failure."
34,3,"When you have a wild Wyn <unk> in the equation, it turns out to be a huge box office, which is all but guaranteed."
35,3,A labor of love that sounds very loud.
36,4,It's the best Star Trek movie in a long time.
37,3,"What is most memorable about Circuit is that it was all captured on a video, mapped out by a tiny camera, which helps Schafer work out spaces that look large... and small... with a dramatic application."
38,1,The fluctuations are sparked so fundamentally at every notional level that they give rise to a kind of googene grandy.
39,4,"The best comedy show I've seen since Cho's last concert comedy film, ""I'm the One That I Want"" in 2000."
40,3,"""Back to the Underworld"" may be Disney's other shameless attempt to soak up the dough from gangster families, but it's not all doom and gloom."
41,1,You are more likely to be scratching your head than hiding under your seat.
42,3,The performances are always good.
43,1,Power would get sharper and clearer before it appeared in front of the camera.
44,1,Isn't there something wrong with this scheme?
45,2,His poetry is pungent and inelegant in its message.
46,0,"A sickly, self-aware art made without roars of intelligence or ingenuity."
47,3,A mixture of Cyrillic alphabet with modern visual means and symbolic graphics.
48,1,"Three hours and almost no plot or characters allows much space to learn, and a much shorter, stripped-down 10 would certainly allow the narrative to become smoother and more focused without sacrificing one's touch of cultural intrigue."
49,4,"The stories are artfully intermingled, the magnificent aerial scenes breathtaking, and the general atmosphere is mind-boggling."
50,0,The whole film needs a scented bath.
51,1,"The film balances a Hallmark line with the loud, life-affirming moments of mobile advertising."
52,2,LRB-A -RRB is a rare documentary film that reimagines the basis of our life and values our own true identity in a world of meaningless activities.
53,2,"It has a top musical beat to which it can dance, but its energy does not compare to the heavy, humorous, treacherous dialogue of the original."
54,2,"Wallace directs with such patronizing care, a stomach-flipping twist."
55,4,You probably love it.
56,1,It's tiring most of all.
57,0,<unk>... Something is lost in the transfer this time.
58,4,Sexy and romantic.
59,3,"In their 峰winning ""Maida"" in Manhattan, and in Jennifer Lopez's most aggressive and miracles attempt to take the cinema by storm, the diva jumped into the company of A-List strippers."
60,0,"With a completely predictable plot, you will laugh like you have seen all this before, even if you are not within a kilometre of the longest yard."
61,3,"""The Girl from Birth"" gets along well with Chapling 링 B and Kidman, who have the charisma of a movie star when it is needed to sell us this bitter love story, but are also able to agree on the film's darker scenes."
62,1,"Surprisingly, given Bird is a former film director, the film turned out quite ""funny."""
63,3,The first five minutes let you say - until the end of the year!
64,0,This mess of a movie is nothing short of a parody of a transvestite comedy.
65,2,This is exactly what was expected.
66,1,"LRB-Stevens is in such a hurry to produce an important film about human infidelity and accident that Lebanon is almost immersed in history, brimming with plot designs."
67,0,It is all the more difficult to believe that anyone in their right mind would want to see this.
68,2,"Although it never reaches its full potential, the film does offer a strong insight into women's condition and an untimely danger of emotional repression."
69,1,The filmmakers play one with the Big Boys in New York and Los Angeles.
70,2,This terrifying journey into the war inferno illustrates the chaotic and personal anxieties of which there are too many when man's chaos spreads unchecked.
71,1,The action occurs after a long exercise session with no pulse.
72,2,"The ""take-off-up, chopped-up, shot-up"" ending came out of nowhere, succeeded by the end ""stand-up,"" ""mayhem."""
73,3,I still love Moonlight Mile.
74,3,Delivers more than its fair share of bizarre fun.
75,4,"Like skilled fishermen, the director uses up the final act to enthral the crowd, for his show captivates us completely."
76,2,The camera is circling!
77,1,"Cassavetes thinks he makes Dog Day look bizarre, but all he does is reduce the subject to a itty-bitty, almost crabby caricature."
78,0,"Like an old pickup truck driving unruly over a long patch of black ice, the movie makes it feel like four hours."
79,2,The same guy with two hatches.
80,1,a film never rises above a conventional 2D fairy tale
81,1,"On Friday, he said, ""it's not true."""
82,0,"Rather than picking citrus grass from this thin shelf, choose the nose, since you will surely benefit much more from your latest experience."
83,2,"Decantiade - so many silent films, newsreels and so on."
84,0,"Rough, full-length, light-hearted, this convoluted romantic comedy - in which opposition leaders are attracted not 距Glass but by a script - dilutes the charm of stars Hugh Grant and Sandra Bullock."
85,3,Scott Bayoh does some fine work in indie projects.
86,3,"Wiseman is patient and uncompromising, allowing his cameras to observe and document the lives of women torn apart by the legacy of abuse."
87,3,An unusually dry and even analytical approach to a material that is usually played with maximum moisture.
88,4,"Bright, colorful, semi-musical renaissance."
89,3,Your children will be busy for 72 minutes.
90,3,Anna-Sophie Biraud's sensory and astute first painting.
91,3,"The comedic heroine provides the drama, which gives the Doc extra power Bavaria has."
92,3,"It's a methodically assembled, engaging film, over-powering the hopeless fiction of tax cheats."
93,0,"The film is almost entirely devoid of suspense, surprise, and coherent emotional conviction."
94,3,A largely vague one resembling a light joke and a quietly rational little sporting drama.
95,2,"The film is explosive, but some of these sticks are soggy."
96,2,"On a fundamental level, Blue Crush is delivering on promises, but is hardly recommending them."
97,2,"When you bring up a dead person, Hard Copy has to come to a knock, no?"
98,3,"And they do not want to be left behind.,"
99,1,"It is the most opaque, self-serving, and just the simplest excuse for a film you can imagine."
100,4,Diggs and Lathan are one of the primary reasons Brown Sugar is so sweet and sexy.
101,4,... a delicate crime drama akin to Mamet's finest lines.
102,3,"As an introduction to human theories and influence, Derrida is almost useless; like the artist's portrait of an unending inquisitive old man, however, he is invaluable."
103,2,"Venezuelans also say words like ""Fabesi,"" ""Por poor favor, go home"" when they talk to Americans."
104,2,"This type of stunt is liked by the Academy: a powerful political message, hammered into an otherwise mediocre picture."
105,4,"One of the best, the most underappreciated performances by the LRB-Jack Felson in her career."
106,2,"The series may seem like just television movie of the week, but Leonard Sr.'s Song to Martin is as depressing as the role of a real saving grace for Salday and his friends."
107,3,A calm look back at what was Iran-American in 1979.
108,4,"Brilliantly beautiful portrait of the descendant, in elegant watercolor tones of blue, green, and brown."
109,3,"Merry and sad, distressing and exhausting, frightening and fun."
110,1,It's only a shame there won't be another such unpretentious movie.
111,2,"None of this holds the same dry expression or classical phantom qualities as Bond, but much of it makes me laugh."
112,3,"It's a very odd film but Heaven is deeply concerned about the moralizing, yet refuses to let the audience know the story."
113,4,"Fans of the filmmaker Abel Ferrara might be surprised that his last film, ""R Xmas,"" marks a modest, if encouraging, return to form."
114,0,"Once laughter is banned by any obscene circumstance, even the funniest idea does not seem funny."
115,0,... this isn't even a painting in which we can enjoy a mild escapism: it is a film esn't give up on fear and disillusionment.
116,1,"Proving a cute little thing that, alas, is not very much in love with her own cuckoo."
117,3,"The director tries to balance thrilllessness, often sagacity, and unflappable vulgarity, with results that are sometimes funny, sometimes sweet and very often and unexpectedly touches."
118,1,"The screenplay covers vast, heavy themes in a fresh, superficial way that offers no clue as to why, for example, good things happen to bad people."
119,1,"Every time, a film is made that is so stupid or awful in many ways that it becomes unbearable to watch."
120,3,"Although it does not add up to the sum of its parts, Feff's film will provide enough insight to shield it from a simplistic way of thinking, and the cast is engaging enough to keep you out of your chair."
