Id,Category,Sentence
0,4,Brella Tufano's beautiful outfit and Fili Bosky's inventive music make this pretty local drama something special.
1,3,"It may not be a great cinematic thing, but its power stems from spiritual ideas about how it can tinker so well with public insult, at least in this case."
2,3,"It doesn't have to be a bag for everyone, but it sure gives you something to chew on."
3,3,"Like her strange heroine, she irrigates our souls."
4,3,"When you think you can figure out late marriage, it puts you in a stronger position."
5,4,"Bloody Sunday acquires the grace of claiming intent rather than scapegoating, leaving the film with one of the best war films in history."
6,0,... hypnotically dim.
7,1,"The story of thugs and criminals is really engaging, but the movie's invincibility is so bad that it will not serve justice."
8,2,"""The Adventures of a Hitler Soldier"" was a revenge film."
9,2,So something horrible happens.
10,2,"In the long, chaotic historical expediency of troubled adolescents like Mike are less synthetic."
11,2,which makes the plot's inception almost impossible.
12,1,"Screenplay by James <unk>, James <unk> and director Peter Peterphal She.. stroking so that your teeth start to hurt."
13,2,That's the type of Academy trick that deserves to move a powerful political message to a mediocre film.
14,2,Show me the robbery.
15,4,<unk> and <unk> will be all right for the unforgettable occasion.
16,3,"The point is that every funny scene gives the really cool technology invented by the filmmakers for future films about the gay people, who knows and answers every question, is silent, knackered and unaware."
17,1,"Too slow for a young crowd, too low for an old one."
18,4,This girl deserves to continue.
19,2,"If it gets going, then it's better than Star Travel's bracing conclusion: there's no first contact with it because the boy cannot pick up the keys from the Borg gate and end half a parsecs well away from time."
20,3,"Even if not the long career of a pianist, as in Polanski's romance, he can still surprise with the variety and remarkable establishments that his history took."
21,2,"A movie that will exhaust you and clouds you, even if you don't want to be."
22,2,"Flack Nasdaq was simply outlining a role that he has yet to grow into, a role that he himself unsuccessfully connotes Putin's authority."
23,0,"It may not be a 1970s cartoon, but the rest is a straight satire of the morning cartoon, with wayward thinking and the same old quizzical."
24,4,"It is brilliant surfer shots that put you right within the giant waves, giving us a glimpse of one of the most summer shows."
25,3,... a deliciously whimsical comedy worthy of more than a prophetic moment.
26,2,"The boy is vividly recalled acquiring another 救dinghy and his father's cauldron during his lovingly described soft war ""between an indecisive, unresponsible man and the kid who clings to him."""
27,4,A subtle 습chievous film never falls into the trap of Fedlin's or Treasury's faith in the future.
28,4,"... as the real influence of the day unfolds, the power of this film becomes clear."
29,1,A film like Home Office or one that looks like a little Maria Fallon but won't be quite as potent as any of these.
30,1,Bigelow exploits the sequence of the nuclear crisis evenly but the drama when she needs to build suspense and drag strips down too many scenes to an end that must move quickly.
31,4,"As a filmmaker, Paxton is remarkably brilliant, able to combine what might have confused the viewer and horrified it with an intense and frightening dizziness."
32,4,"It is a much joyful spectacle, much as it once was Automobile-style peer-to-peer."
33,4,It will be one of the strongest thrillers of the past year.
34,1,세The big shock of the show was how former Nineties' Juliette Lee played salt of the earth mom Minnie and wore a slim road incarnation of the eerie wig that no Halloween costume store will ever try to sell.
35,3,"They learned how to pulp myrphones to an intimidating level, as well as to grow drained from rolling out a straw barrel or suddenly exploding religious records."
36,3,"Since the film is not successful, and with extensive uncertainty surrounding its position, the director's experiment was successful."
37,3,"He defied that nervous strangeness, just as modern art should."
38,3,This will be a rare and powerful film from a director who is capable of both creating and testing the mood.
39,4,He will be the best of the year and exciting.
40,1,"The hot chicken is so savored, and his performance will be brilliant, that it's a real shame that Snow Maiden is having as much of a drink again as the animal, and it's a mess."
41,3,Tsai convincingly paints precisely the urban feeling of being cut off from the world.
42,3,His glowing eyes betray black and white scandals and scandals.
43,2,"First they reached for each other, then they had a brief argument."
44,4,"It's a taste, a whimsical movie, with a terrific script and fantastic direction by Michel Gondry."
45,3,"a thriller, the style, structure and characters so closely tied to the plot that it is impossible to separate them."
46,1,Is it a joke to telegraph something they should lose by mail in advance?
47,1,Have you ever seen a comedy that seems like a bad idea from the first frame?
48,1,"""The Cherry Orchard"" is well edited, sometimes embarrassingly straightforward, and agonizes at implying unnecessary suspicious death troika, which allows the characters to tell things retrospectively. """
49,1,"Director and writer Robben Dean has failed to generate an interest in any of the tetchy characters who are caught in an intriguing plot that, though skilfully developed, hasn't managed to break the bla character."
50,1,"If you're speaking the truth, it's not necessarily a bad thing, but the dialogue often skips over."
51,1,The only young people who can enjoy that film are the latest... baby... who is amazing for his rapid movement and his sound.
52,2,"The cartoon provides predictable, hand-drawn stories of chaeby and lion king, but nonetheless without emotional resonance."
53,3,"For that primitive animation special effects, the mood is remarkably grim."
54,0,Yet intellectual humour is no longer enough.
55,3,It combines sensitivity and complexity.
56,0,"A quiet, somnambulic exercise in longing, the silence of which is disturbed by frequent Rowling signatures."
57,4,"In an intrusive, poignant film, which whips you up with an overflowing stream of emotions, you explore the terrible complication of a terrible day."
58,3,"The film is alive and wonderful on so many levels, from the play itself and the film business to the postmodern story."
59,4,Keenan's performance will be a career revelation.
60,1,smell from start to finish like a wet bag of snowdrifts.
61,1,"The whole point of this audacious dog story, of course, is not to go anywhere, and this would be classic non-fiction in every way."
62,3,"Big, engaging, juicy and spirited for at least three films."
63,4,Better than the first!
64,0,Almost every attempt at humour is wrong here.
65,3,"""It is a wonderful film with a great premiere, but only a great premiere."
66,1,For those who still in their high school years choose a soundtrack instead of a full-length classical.
67,3,"You can stare, giggle and get adrenaline without feeling that you're totally down."
68,3,Good performance keeps it from fully rebooting.
69,2,"Although it was performed equally well, especially by a young choreographer and talented first actor, the film's director-director and screenwriter opted for a schematic and distinctive approach."
70,0,"Noise, chaos, mostly not fun."
71,3,A sequel shoulders the burden of a sudden 1994 family hit that could sap grown-up trust.
72,4,"Her sweet and surprising tale continues right from her script, leap-frogging to the top of the women's class in a film that so sensibly avoids the ghetto of ""dolphin chick womb."""
73,3,"A witty, often affectionate, analysis of the pros and cons of unconditional love and family duty."
74,4,It's an anomaly for a Hollywood film that is well written and occasionally flawed social drama that actually has something interesting to say.
75,3,With pervasive and unsubtle mania... Olivier Assai possessed a fashion for the bumbling Upper Viefarmers to provincial bourgeois French society.
76,3,"He may be more genius than a villain, but he can cope."
77,0,It's horribly depressing and not very well do.
78,4,is eloquent about the symbiotic connection between art and life.
79,2,You want to call them Domino's.
80,3,"Cohen's directorship debut is an incredibly flat and stylistic film that, despite a rather slow pace, almost modest approaches to character development, all the same overcame an equally decent attempt at thoughtful cinema."
81,4,"I thought he was a giraffe, but only with muscle and much smarter, yet just Tampa Bay and 稳n Florida."
82,4,Woody Allen has really found his way today.
83,1,"You won't feel like twinning a runner, but like the Feed Your Feet on the runaway New York series."
84,2,his scene was brief and often unexpected.
85,2,"for all the seriousness of its plot, the gang turns out to be as jolly as good spaghetti westerns."
86,3,"In the horror tale, French Capra plays directly."
87,2,There is no scene in a village bear pit that would unsettle or upset a young audience.
88,1,"Their genre component is devoid of all intrigue, except for the ridiculous accent, and the action scene has to be reported brilliantly."
89,4,"The series includes some light, beautiful paintings that tip nearly every centimeter of animation, while delivering a more than satisfying amount of carnivorous work."
90,1,The film will be splattered with the anachronistic prose of fast-paced redesigns and an incandescent look at contemporary theater as the events unfold.
91,3,"What a silly, funny, funny kind of film."
92,2,Debate.
93,4,"The best effect, good play and fun branach in Kenneth."
94,2,"And the children of the century, well dressed and dressed, but eventually caught in the gimmick that so often shocks movies about the writer."
95,3,Consider a scenario in which a man turning to Swedish fatalism uses Gary Larson's humour.
96,1,Demme finally managed to transform his frame from triumph captain to studio snapper.
97,2,"The Emperor's Club may be one of those with all the good intentions in the world, but..."
98,0,"Frankly, it is an insult to both men and women."
99,0,"Try working in the same vignette as the brilliant Animal House, and instead come up short with the third sequel."
100,4,"It is a fine, focused work that opens up an interesting debate and never gives up on the slightest chance."
101,2,"The actor pull out all the stops in almost every scene, but for utilitarian effect."
102,1,"It must be interesting, it must be lot, it will be spectacular and boring."
103,3,"But for every epiphany of the play, the film resonates steeply with visions of the world of the future: a libretminal version of the life-affirming writer Orlando jamis, who knows all and guys answers all the questions, is smart, clever to write, and knows very little."
104,3,"Chicago offers a lot of colored eye lighting, including 14,000 varieties of wheelbarrow, hoof, and crown, with some of the best."
105,1,I suspect it is the very sort of film that would be acceptable if its director released it as a bonus to the games that it is.
106,3,"For a long time, he wore cheerful garb."
107,3,"From Portal came the most edgy, highbrow, sexually expressive, psychological probes, the cleanest movie of the year on libido."
108,3,"Even when he is not at his most critical nastiness, Godard may be smarter than any other 50-year-old director working so far."
109,2,Rare film that makes us reevaluate the foundations of our lives and appreciate what we want to see in the tents of meaningless labor.
110,4,"Young Hank and Mick, vaguely remembering their knowing celebrity parents, add freshness and lightness to the work in front of the cameras."
111,4,"It's a wise and powerful story about race and culture, with a terrific level of performance."
112,4,"a shimmeringly glowy portrait of an adult, which is made in an elegant aqueous hue of blue, green, and brown."
113,2,"Parker should be grateful that he approached familiar material in a new way, but his determination to stay true to the original text forced him to strike a slightly boatful tone ดthat ultimately extinguished human tragedy at the heart of the story."
114,1,Shameless wasteland in acting.
115,3,"Generally, there are too many serious questions on her plate each time, but there's still a relatively light-hearted, relaxed, and clever spelling."
116,4,One of the greatest films we've ever seen.
117,0,"Ugly, senseless, stupid movies."
118,0,The play is so exaggerated that the effect feels like a self-parody.
119,4,"light, silly, photography with color and depth, quite a good time."
120,4,The film is stunning in its looks and its sound of the wonder that the world has to offer.
121,2,Chasing the Cell Phone Crazy
122,3,It's a cultured and attractive film that doesn't claim to be what it wasn't.
123,2,"After all, morranization is important in break-code as well as in filmmaking."
124,1,As original and perceptive as last year's music-supporting story.
125,2,"A triumph of 浪love may be a very stupid film, but silliness has a pedigree."
126,3,There is a huge amount of sympathy for their character.
127,1,I don't feel so much like a casualty of personal change as a starving beetle.
128,3,The strong hallo may not reside in this French superhero role normally reserved for good guys.
129,1,"In one scene, we are stabbed in the head by a football hooligan, a bighead breaks ground on the cult TV series Cuctarantino, and Fuqua's commentary explodes."
130,1,a low rent level from the windows of the first floor.
131,4,It's all soulful and not too banal and obviously that's what Aniston needs to continue to grow into a movie career.
132,4,Majidi's direction has never been smooth or confident.
133,3,"As blunt and generous as it is, the cartoon looks almost perfect for both depth and breakdown and, after a slap at the digital effect of trying to, say, sound like a family comedy, the drama is not surprising and it's over."
134,2,Little things like that tonight...
135,3,it's not too fast and not too slow.
136,4,"But with the Paramount character now flying at such a boom-like pace, we can only remember exactly what we felt when the movie ended so soon."
137,2,"In some ways, that will even lead Moroccans to soften the hard subject a bit, as in ""The Green Marathon."""
138,1,"Get rid of them so that the ratings on page 13 aren't so high, so that the more graphic the abuse is on camera, the more sexualised the image."
139,0,"It's one more completely unnecessary addition to a growing, bleeping pile of, well, utter spoonfuls."
140,1,"He wants to pick a false convict, a stupid one in favor of a council."
141,1,"There is no such wild roughness and won't be found, you don't want to suspect, if it suddenly happened in the proceeding of manufacturing."
142,1,An exceptionally romantic comedy.
143,0,"That's a splash without the joke. """
144,2,"That against a backdrop of the ongoing mutual respect of music playing in the film's background, you can mistake the love of the vines for the sung Hanukkah song Adam."
145,0,"Therefore, if she has a thin green microflora most children neglect the specificities of medicine. Seized concern that in _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ფ_ _ _ _ _ _ _ _ ills _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ casually but she Storage-Because annon-universally causes physiological problems for patients."
146,1,The problem is that Van Wilder does very little of what is really funny with material.
147,1,Facial approach to a good film
148,3,"If not on the internal front, at least with a solid base."
149,0,"Too soft by half, Howard's film is a really hinged story, with the space between action filled by fantasy, dream, memory and imaginary imagine."
150,1,unbearable naivety.
151,3,It's about the issue most adults face in marriage and think that is what it is a real nomination issue between a silly and raw news story.
152,2,"Soderbergh seems capable only of subtly light, candid investigation, which lacks the true depth to make it discernible."
153,2,Easy and sympathetic as she digests the silent cry of a workplace inertia while still stubbornly resisting her hero's direcOaks solipsism.
154,3,A comedy of deep age.
155,0,I feel incomplete and I love something in this movie that belongs to them both.
156,1,The film will add nothing new to the myth.
157,4,I like the strong middle of this image.
158,2,"Even if it is full of sensuality from the video director, he cannot make an entirely empty entertainment"
159,3,"The stable is owned by Rudd, whose portrait of a therapy addicted fly-half in handburns... do you not stop."
160,3,"With a large cast representing the slice of a broad soul, the film Tarraerial, combined with the energy of his girlfriend on Friday, retains a light touch while engaging in mercenary murder."
161,2,You want to call it homegrown.
162,3,"It's a moving, sophisticated film that is nearly like a documentary, with the sense that it's all about an immigrant family standing on the threshold of major change."
163,0,"Thirteen months and 295 previews have passed since the last edition, but the evil from the environment did deserve my humiliating, preemptive withdrawal."
164,2,And how.
165,2,"It was thoughtful, invigorating, tasteless."
166,2,"She's not an actress yet, not exactly a singer..."
167,1,The pool drowned my beard.
168,2,"Daringly engineering the clash of the bold filmmaking-fervent mess with the poet's spiritual anatomy, the uplifting film, while remaining faithful to the source, persistently depicts death as a disease out of love."
169,4,"Ah action, like an adrenaline rush, to rats from excitement."
170,3,- Must be in good standing for the rank and will be a public service.
171,3,"When you get savagely more popular than the wild diesel in the equation, it virtually guarantees a big box office windfall."
172,2,"While the florid, unflinching eccentric Stacey Strickland, stillborn and back to the future would be perfect for the role, she is Bartleby's main common weakness."
173,1,"It's a rock and roll star and ｬlecturer Stevie Hopkins, who seem hardly in the same film."
174,1,"The series of escapades reveals the proverb that what is good for the goat is good for the gangsters, some of whom have been ballistics forever, but none of which are part of the story."
175,3,"The hero's dangerous life has its drawbacks, but it has humour and heart, as well as a hugely talented young acting talent"
176,4,"To demonstrate the extraordinary power of authentic, subtitles."
177,3,"is unless it is sappy as big dad nothing as anarchic as happy gilmore or the waterboy, but it has its moment."
178,2,"That is a screen adaptation of the unforgettable epic about two families, black and white, who face-to-face transformed their own domestic and external lives."
179,3,But frequent whingeing of gurus and doSSs would seem deliberately like a Western and verging on mentoring... a vast strip of common sense would manifest itself with unflinching candor.
180,4,The birthday girl walks a winding path between the insidiously funny and just plain braided.
181,0,"Mr. Soderbergh's direction and visual style strikes me with an unusual, less than convincing charisma and approximation."
182,1,"ǽ️ Blue Sushi limps off the pixie cut of extreme sports adventure, but end up looking more like a creaky and pretty woman with an emphasis on schmaltzy self-determination and big wave surfing that overshadow her name."
183,4,It needs to be bright and vivid in every sense of the word.
184,4,I hope that this film will be widely distributed and debated with appropriate violence and sensitivity.
185,1,"You will feel like eating a peanut butter-free risé... """
186,3,The film turns out to be relentlessly sad and equally unfunny.
187,1,Serve salads to Canterbury might be little more than a couple of movies to kill the time.
188,2,"beautiful and pale but slightly lumpy, combining entertainment with cryptic boosterism."
189,4,"For a film comedy, something feels like antibacterial humour, fun characters and a happy-go-lucky ending."
190,4,... and one of the best films of the year.
191,2,"Curling may be a unique sport, but people with a broom are completely mundane."
192,2,"Call it, as they say, Monty on Ice, the underdog team's sporting formula."
193,3,Reggio and Glass put on an intoxicating performance.
194,2,So Nadia's birthday may not be that bad.
195,2,"These <unk> motorcades were supposed to be a ""vehicle"" for the Chan, and a ""mask"" for Jim Carrey."
196,3,The story is clever and totally enchanting in intention and execution.
197,1,"For Sreeve, the pre-Raphaelites diverge on screen by an overshowy ambivalence of narrative, and we continually transition from convincing historic stories to less convincing soap operas."
198,0,"Harvey's character ""may be overstated and exaggerated, but, then, subtitled has never been his trademark."
199,4,"Everyone's uncertain about this beautiful and surprising, emotional and exhausting movie about a mother, daughter, and their relationship."
200,3,"Film fans will like it, whether it's the cutting out of the original or a new remake."
201,1,It's a grumpy and boring business.
202,1,"Unfortunately, there is almost nothing in this flat rush to entertain or amuse them."
203,1,"Warm, futile script."
204,1,It's still better to get to the shop at Malé than at the cinema at night.
205,1,"Though the film is uncomplicated in design and responds to many feelings, it combines motive, painful improvisation and a dark side."
206,0,The movie is so bad that it could not be better received than as a star on the big screen outside the film universe.
207,3,"Strangely, the film is not quite as cumbersome as initially feared, but with a spectacular tone that alternates melancholy and hope."
208,2,"There may be enough chants on stage, but she just needs to shake up the mix and work on something that does not appear a half-frozen routine."
209,3,I wish we could count these people.
210,2,Your stomach for heavenly happiness depends largely on your appetite for roasted maize.
211,3,This is roughly the same amount of beautiful movement and internal information.
212,4,It's refreshing to see a movie that takes its old topical theme and in the process comes out as something totally original.
213,2,Director David Jacobson provided the unforgettable answer that a killer never plays the victim.
214,3,It is Watts that can ensure the credibility of this bizarre scenario - and her presence makes us think.
215,2,The bravo indicates the film's true purpose - the carefully chosen protagonist will interview a portrait painter so charismatic that it can be regarded as propaganda.
216,3,"Despite its shortcoming, Belinsky has still managed to create an intrigue that will make you guess at virtually every turn."
217,1,"Morning exercise, as part of a formula crash test and a bash test."
218,1,I more like his lack of trust in the audience than anything I can find.
219,1,"The plot has several holes, and every now and then it's just a mutt."
220,2,"All in all, the Kingdom of Fire would be a good ride."
221,2,"If the protagonist were blue, his misfortunes would have ended in five minutes, though the plot instead played out of efforts to mislead him."
222,3,We want <unk> and this film to get it.
223,3,"Directed well, but deathly nice drama."
224,1,"solondz is undoubtedly an artist of an uncompromising vision, but that vision must begin to seem if not morally indefensible, then at the very least monotonous."
225,1,"but he has the dream of saying something about the subject, but has no desire."
226,4,"They are very ambitious, very different to anything they have done before, and they are remarkably successful in what they try to do."
227,0,It's a 88 minute highlight reel that's 86 minutes too long.
228,3,A good film with a shared pedigree both in front of and behind the camera.
229,1,"that the true story, with supposedly all the Queen's men taking part, will be much funnier and more detailed than that being groomed together on screen."
230,3,Although the tweet may not be... it's the image that actually tells the tale.
231,1,"Yes, fantasy triumphed, but it is also a failure in telling stories."
232,3,"Ultimately, what matters is the meaning of that message - just self-awareness."
233,1,"Perhaps there is some kind of gender-provoking philosophy here, but who the hell doesn't care?"
234,2,Very cute after school special.
