Id,Category,Sentence
6566,3,"If you 've the patience , there are great rewards here ."
10766,1,"Some of the computer animation is handsome , and various amusing sidekicks add much-needed levity to the otherwise bleak tale , but overall the film never rises above mediocrity ."
68,2,"Though it never rises to its full potential as a film , still offers a great deal of insight into the female condition and the timeless danger of emotions repressed ."
471,3,This version does justice both to Stevenson and to the sci-fi genre .
3700,2,"As self-aware movies go , Who is Cletis Tout ?"
8592,3,A certain sexiness underlines even the dullest tangents .
3857,0,"Much like its easily dismissive take on the upscale lifestyle , there is n't much there here ."
3252,1,"The re - enactments , however fascinating they may be as history , are too crude to serve the work especially well ."
6378,2,Tells -LRB- the story -RRB- with such atmospheric ballast that shrugging off the plot 's persnickety problems is simply a matter of -LRB- being -RRB- in a shrugging mood .
3557,1,The action clichés just pile up .
3754,1,There 's no good answer to that one .
1475,2,Reyes ' word processor .
6491,4,"Some movies suck you in despite their flaws , and Heaven is one such beast ."
7737,1,It all looks and plays like a $ 40 million version of a game you 're more likely to enjoy on a computer .
3881,2,That the Chuck Norris `` grenade gag '' occurs about 7 times during Windtalkers is a good indication of how serious-minded the film is .
4769,3,Evokes the 19th century with a subtlety that is an object lesson in period filmmaking .
371,2,The comedy makes social commentary more palatable .
4485,2,"The film may not hit as hard as some of the better drug-related pictures , but it still manages to get a few punches in ."
8021,3,"While there 's likely very little crossover appeal to those without much interest in the Elizabethans -LRB- as well as rank frustration from those in the know about Rubbo 's dumbed-down tactics -RRB- , Much Ado About Something is an amicable endeavor ."
8396,2,May seriously impair your ability to ever again maintain a straight face while speaking to a highway patrolman .
9077,0,"The film has a nearly terminal case of the cutes , and it 's neither as funny nor as charming as it thinks it is ."
2482,1,"If I want a real movie , I 'll buy the Criterion DVD ."
4704,3,"With so many bad romances out there , this is the kind of movie that deserves a chance to shine ."
7642,2,"It may not be history -- but then again , what if it is ?"
511,3,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .
7583,3,"An uncomfortable experience , but one as brave and challenging as you could possibly expect these days from American cinema ."
10737,3,"Takes you by the face , strokes your cheeks and coos beseechingly at you : slow down , shake off your tensions and take this picture at its own breezy , distracted rhythms ."
6910,3,"This rush to profits has created a predictably efficient piece of business notable largely for its overwhelming creepiness , for an eagerness to create images you wish you had n't seen , which , in this day and age , is of course the point ."
5019,1,Just a Kiss is a just a waste .
2869,1,"There 's no excuse for following up a delightful , well-crafted family film with a computer-generated cold fish ."
2852,3,"Jae-eun Jeong 's Take Care of My Cat brings a beguiling freshness to a coming-of-age story with such a buoyant , expressive flow of images that it emerges as another key contribution to the flowering of the South Korean cinema ."
3852,4,"A stirring tribute to the bravery and dedication of the world 's reporters who willingly walk into the nightmare of war not only to record the events for posterity , but to help us clearly see the world of our making ."
7653,3,"By halfway through this picture I was beginning to hate it , and , of course , feeling guilty for it ... Then , miracle of miracles , the movie does a flip-flop ."
4647,1,The movie starts with a legend and ends with a story that is so far-fetched it would be impossible to believe if it were n't true .
4532,3,Any movie that makes hard work seem heroic deserves a look .
1879,2,"Basically , it 's pretty but dumb ."
13,3,Offers laughs and insight into one of the toughest ages a kid can go through .
5621,3,She boxes these women 's souls right open for us .
7601,0,"Like Rudy Yellow Lodge , Eyre needs to take a good sweat to clarify his cinematic vision before his next creation and remember the lessons of the trickster spider ."
2701,4,Fun and nimble .
679,2,"`` I blame all men for war , '' -LRB- the warden 's daughter -RRB- tells her father ."
4198,1,A film that suffers because of its many excesses .
6482,2,Helps to remind the First World that HIV\/AIDS is far from being yesterday 's news .
